trip_distance,ride_time,fare_amount,pickup_hour,PULocationID,DOLocationID,passenger_count,payment_type
1.22,12.8,9.0,13.0,191.0,154.0,1.0,
1.85,13.133333,9.5,19.0,129.0,101.0,1.0,
0.76,9.883333,7.5,16.0,191.0,222.0,1.0,
1.97,11.483334,9.5,23.0,91.0,163.0,5.0,
4.27,20.0,16.0,21.0,132.0,144.0,1.0,
0.8,7.2833333,6.5,13.0,198.0,156.0,3.0,
1.95,15.033334,11.5,7.0,134.0,133.0,1.0,
0.8,6.6833334,6.0,11.0,198.0,225.0,2.0,
18.21,65.61667,52.0,11.0,107.0,219.0,4.0,
1.3,13.216666,8.5,12.0,126.0,39.0,2.0,
3.3,13.483334,13.0,7.0,204.0,72.0,1.0,
1.0,12.383333,9.0,16.0,195.0,177.0,1.0,
1.34,9.833333,8.0,17.0,195.0,101.0,1.0,
1.99,10.4,9.5,14.0,118.0,177.0,1.0,
1.7,11.633333,9.5,12.0,191.0,225.0,2.0,
4.58,29.533333,21.0,13.0,68.0,225.0,1.0,
4.41,11.233334,14.5,15.0,112.0,85.0,1.0,
1.44,13.2,9.5,10.0,191.0,226.0,1.0,
2.7,15.233334,12.0,13.0,113.0,5.0,1.0,
1.18,18.4,12.0,9.0,10.0,250.0,1.0,
1.28,7.6666665,7.0,8.0,153.0,154.0,1.0,
1.63,5.4333334,7.0,2.0,116.0,73.0,2.0,
0.59,3.6833334,4.5,13.0,123.0,221.0,3.0,
2.0,13.816667,10.5,17.0,195.0,41.0,1.0,
6.47,41.15,29.5,18.0,112.0,85.0,1.0,
1.92,9.65,8.5,8.0,198.0,157.0,1.0,
1.4,9.666667,8.0,10.0,42.0,154.0,1.0,
4.03,11.65,14.5,20.0,107.0,8.0,1.0,
19.12,54.816666,52.0,14.0,107.0,251.0,1.0,
0.01,0.11666667,-2.5,16.0,107.0,125.0,1.0,
3.44,12.866667,13.5,22.0,132.0,227.0,1.0,
4.1,23.75,19.0,11.0,129.0,228.0,0.0,
1.97,9.833333,9.5,19.0,205.0,151.0,1.0,
3.11,27.016666,15.0,11.0,58.0,198.0,1.0,
0.71,10.616667,8.0,16.0,198.0,226.0,1.0,
1.5,8.666667,8.0,20.0,132.0,177.0,1.0,
0.9,6.45,6.0,14.0,117.0,136.0,1.0,
1.2,10.816667,8.0,15.0,191.0,97.0,2.0,
0.85,8.0,6.5,17.0,198.0,218.0,1.0,
0.9,4.9166665,5.5,17.0,219.0,73.0,1.0,
1.55,6.6,7.0,17.0,116.0,252.0,1.0,
27.94,102.45,115.0,15.0,107.0,254.0,3.0,
3.08,13.616667,12.0,10.0,200.0,177.0,1.0,
4.04,18.133333,15.5,22.0,198.0,238.0,1.0,
1.77,11.833333,9.0,11.0,190.0,251.0,1.0,
3.7,19.983334,15.5,16.0,58.0,225.0,1.0,
2.8,17.683332,13.0,18.0,135.0,252.0,1.0,
