trip_distance,fare_amount,ride_time,pickup_hour,PULocationID,DOLocationID,passenger_count,payment_type
2.1,9.0,8.166666666666666,0,84,228,1,0
8.7,27.5,22.75,0,132,232,1,1
8.3,25.0,18.0,0,113,222,1,0
1.32,7.5,7.25,0,199,159,1,1
2.94,10.5,8.733333333333333,0,132,215,1,1
2.2,9.0,8.133333333333333,0,134,252,1,0
0.54,4.5,4.0,0,60,66,1,1
2.2,10.0,10.783333333333333,0,220,22,1,0
7.4,22.0,15.15,0,113,39,1,0
12.8,42.5,51.53333333333333,0,174,183,3,1
5.68,20.0,19.916666666666668,0,75,105,1,0
7.8,25.0,25.383333333333333,0,134,162,1,1
1.4,9.0,11.683333333333334,0,153,156,1,0
8.79,27.5,26.25,0,132,173,1,0
1.97,11.5,15.833333333333334,0,123,106,1,0
0.69,5.0,5.333333333333333,0,132,97,1,1
1.61,7.5,7.733333333333333,0,40,228,1,0
2.6,9.5,9.066666666666666,0,198,97,1,1
7.2,21.0,20.566666666666666,0,107,84,1,0
0.8,5.0,3.75,0,117,228,1,0
5.8,21.5,20.233333333333334,0,191,145,1,0
12.2,36.0,27.95,0,113,173,1,0
3.78,14.5,15.333333333333334,0,123,214,1,0
2.49,11.0,14.4,0,58,141,1,0
2.69,11.5,12.366666666666667,0,133,141,1,0
4.88,20.0,24.95,0,198,122,2,1
0.0,17.95,0.08333333333333333,0,92,107,1,0
3.46,12.5,12.766666666666667,0,77,134,1,0
9.02,25.0,13.25,0,113,96,1,1
1.65,7.5,6.55,0,112,2,5,0
0.87,5.5,4.633333333333334,0,68,101,5,1
2.94,12.0,14.483333333333333,0,132,107,5,0
5.39,16.5,15.416666666666666,1,68,72,5,1
6.57,20.5,15.533333333333333,0,133,63,1,0
17.57,52.0,38.916666666666664,0,107,156,1,0
1.4,9.5,12.016666666666667,0,191,88,1,0
3.8,15.0,17.666666666666668,0,208,135,1,1
5.2,18.5,19.833333333333332,0,117,171,1,0
7.25,21.5,16.166666666666668,0,107,61,1,1
1.9,8.0,7.766666666666667,0,141,134,0,0
2.4,9.0,8.25,0,133,139,0,0
1.04,6.5,6.15,0,133,156,1,1
0.82,6.0,5.583333333333333,0,191,154,1,0
0.94,5.5,5.433333333333334,0,195,235,1,0
6.37,22.5,25.433333333333334,0,205,138,1,0
18.1,52.0,32.55,0,107,97,2,1
2.1,10.0,10.65,0,133,177,1,0
2.5,11.0,11.933333333333334,0,195,134,2,0
5.53,18.5,14.783333333333333,0,141,85,2,0
1.15,6.0,5.8,0,172,220,2,1
16.3,46.0,33.03333333333333,0,107,184,2,1
12.04,34.0,21.25,0,221,125,4,1
3.8,14.0,16.166666666666668,0,40,220,1,0
1.22,6.5,5.883333333333334,0,35,22,6,0
0.8,5.5,6.4,0,198,251,1,0
0.5,4.0,3.0166666666666666,0,200,227,1,0
5.8,18.0,16.55,0,200,233,1,0
2.5,10.0,9.083333333333334,0,115,130,1,1
3.5,14.0,15.85,0,112,155,1,0
1.3,6.5,6.016666666666667,0,133,101,1,0
1.74,9.0,10.983333333333333,0,191,163,1,0
1.28,6.0,4.9,0,68,222,1,0
4.77,17.5,19.716666666666665,0,205,225,1,0
1.01,5.0,3.783333333333333,0,190,134,1,1
1.07,5.5,4.25,0,116,252,1,1
2.4,10.0,10.2,0,84,138,1,0
3.78,14.5,14.983333333333333,0,208,23,1,0
1.99,8.0,6.833333333333333,0,134,223,1,0
0.98,5.0,3.683333333333333,0,153,66,1,0
1.28,5.5,2.95,0,198,225,1,0
0.46,4.5,3.816666666666667,0,197,225,1,0
1.76,8.0,8.483333333333333,0,137,225,1,0
0.97,6.0,5.7,0,88,177,1,1
7.4,23.0,16.216666666666665,0,60,127,1,0
2.15,8.5,8.416666666666666,0,141,2,1,0
1.4,6.5,5.483333333333333,0,92,220,1,1
0.53,5.0,4.883333333333334,0,174,137,1,0
7.49,23.5,19.75,0,92,159,1,0
3.9,13.5,11.4,0,60,90,1,0
1.4,6.5,6.183333333333334,0,208,223,1,0
4.9,17.0,16.716666666666665,0,92,15,1,0
0.52,4.0,2.0,0,194,163,1,1
0.66,4.0,2.066666666666667,0,40,135,1,1
1.44,6.5,5.866666666666666,0,40,235,1,0
0.98,5.0,3.0,0,205,46,4,0
3.21,12.5,13.666666666666666,0,40,220,2,1
2.44,10.5,11.483333333333333,0,92,46,2,0
2.73,10.5,10.483333333333333,0,195,218,2,0
4.01,14.0,12.65,0,118,72,3,0
4.61,17.0,17.85,0,117,40,1,0
2.3,9.5,8.55,0,134,106,3,0
5.74,20.5,23.516666666666666,0,135,192,1,0
17.9,50.0,35.833333333333336,0,113,12,1,1
0.81,5.0,3.05,0,194,222,1,0
2.87,13.0,15.183333333333334,0,68,46,1,0
0.42,3.5,2.05,0,40,219,1,0
6.2,19.0,13.966666666666667,0,221,72,2,0
0.97,5.5,4.283333333333333,0,58,66,1,0
1.15,5.5,3.85,0,77,97,1,0
1.87,7.0,5.216666666666667,0,40,66,1,0
0.0,75.0,0.6666666666666666,0,222,254,0,0
2.08,8.5,7.916666666666667,0,197,135,5,0
0.59,4.0,1.7666666666666666,0,40,66,5,1
3.26,14.0,16.266666666666666,0,58,141,5,0
2.94,10.5,9.466666666666667,0,198,227,5,0
1.0,5.0,3.216666666666667,0,195,177,1,0
4.83,18.5,22.316666666666666,0,92,228,1,0
1.43,6.0,5.0,0,88,222,1,0
3.68,14.5,17.683333333333334,0,190,141,1,0
0.97,5.0,3.966666666666667,1,68,213,1,0
1.9,9.5,11.0,0,40,135,1,0
17.7,52.0,37.7,0,107,177,2,0
0.68,5.5,5.016666666666667,0,123,43,1,0
0.93,5.5,5.133333333333334,0,92,101,1,0
1.5,7.0,8.716666666666667,0,133,133,1,1
3.74,13.0,9.033333333333333,0,107,207,1,1
14.54,40.5,25.5,0,107,249,1,1
0.8,5.0,3.716666666666667,0,195,163,1,1
4.9,17.5,17.983333333333334,0,141,249,1,0
18.5,50.0,29.0,0,107,1,1,1
2.99,12.0,12.166666666666666,0,123,23,1,0
4.4,14.5,11.633333333333333,0,113,54,2,1
0.9,5.5,4.883333333333334,0,37,46,1,0
2.36,9.5,9.566666666666666,0,191,228,1,0
2.87,12.0,13.216666666666667,0,200,177,1,0
3.8,14.5,15.666666666666666,0,123,154,2,0
2.1,11.5,15.0,0,129,220,1,0
4.3,60.0,29.75,0,92,254,2,0
4.77,16.0,16.233333333333334,0,174,225,1,0
0.25,3.0,1.6166666666666667,0,116,134,1,1
2.34,9.0,8.75,0,116,101,1,0
8.4,26.0,22.083333333333332,0,60,218,2,0
1.36,7.0,7.566666666666666,0,218,137,1,1
8.59,26.0,20.7,0,84,233,1,1
1.07,5.5,5.4,0,208,88,1,0
1.01,6.0,5.233333333333333,0,92,223,1,0
2.03,9.5,10.333333333333334,0,208,97,1,0
2.6,11.0,11.45,0,133,137,1,0
1.1,5.5,5.1,0,119,238,2,0
1.7,7.5,7.083333333333333,0,208,66,3,0
1.67,8.5,9.7,0,119,77,2,0
1.1,6.5,7.2,0,134,134,1,1
1.7,8.0,7.8,0,132,136,2,0
2.9,12.0,13.616666666666667,0,40,101,2,0
1.0,6.0,5.533333333333333,0,198,252,4,0
5.2,19.0,21.033333333333335,0,58,39,1,0
0.9,5.0,3.316666666666667,0,190,134,1,0
5.2,16.5,12.983333333333333,0,190,250,1,0
2.7,12.0,13.983333333333333,0,135,226,4,1
19.28,53.0,35.06666666666667,0,107,95,2,0
18.57,50.5,27.916666666666668,0,21,125,3,1
1.5,9.0,10.616666666666667,0,205,219,1,0
1.9,8.5,9.35,0,191,223,2,1
4.4,16.0,17.833333333333332,0,40,5,1,1
2.3,9.0,8.433333333333334,23,200,251,1,0
0.63,-4.5,3.433333333333333,0,220,251,1,3
0.63,4.5,3.433333333333333,0,220,251,1,1
1.05,5.0,3.183333333333333,0,220,134,1,0
2.1,8.5,7.516666666666667,0,198,177,1,0
1.14,5.0,3.6333333333333333,0,153,238,1,1
1.4,7.0,7.6,23,92,66,2,0
5.11,20.0,26.966666666666665,0,208,34,1,0
2.31,9.0,8.45,0,208,250,1,0
2.53,11.0,12.55,0,172,106,1,0
0.79,4.5,3.6,0,191,155,1,0
2.6,10.5,10.383333333333333,0,92,86,3,1
5.5,18.5,18.733333333333334,0,75,46,1,0
2.9,11.0,11.7,0,141,118,3,0
9.9,27.5,13.983333333333333,0,60,221,1,0
2.5,10.0,9.666666666666666,0,58,155,1,0
0.89,5.5,5.166666666666667,0,208,118,1,0
6.05,23.0,25.833333333333332,0,77,47,1,1
5.44,17.5,17.616666666666667,0,58,73,1,0
7.71,24.5,20.866666666666667,0,194,67,1,1
3.67,13.5,14.35,0,220,46,3,0
9.95,30.0,26.033333333333335,0,40,246,1,0
3.4,14.0,15.783333333333333,0,198,106,1,0
3.25,-11.5,12.033333333333333,0,191,137,3,3
3.25,11.5,12.033333333333333,0,191,137,3,1
3.73,15.5,19.7,0,123,48,2,0
1.75,7.5,8.55,0,42,222,2,0
0.0,20.2,18.466666666666665,0,75,59,1,0
2.0,8.0,9.15,0,134,223,1,0
2.5,9.0,11.083333333333334,0,68,222,1,0
2.01,8.5,9.2,0,123,238,1,0
